A,B,mean(A),mean(B),diff,se,T,df,pval,hedges
1,4,0.07029411764705883,0.32111111111111107,-0.25081699346405223,0.05774073982981634,-4.34384793480832,221.53733581897262,0.0012620074416842542,-0.46841529914358
1,9,0.07029411764705883,0.28554913294797685,-0.215255015300918,0.05461761935079323,-3.9411277507061793,230.86204865893419,0.005932027972860299,-0.42206706894715634
1,12,0.07029411764705883,0.1994943820224719,-0.1292002643754131,0.03330265928104406,-3.8795780026177713,336.43699074224,0.00692685323167419,-0.4131014154481803
4,6,0.32111111111111107,0.12,0.20111111111111107,0.05624027306149273,3.5759270032565023,202.36356505842258,0.021671906986702405,0.3858742694162158
4,11,0.32111111111111107,0.12023391812865496,0.2008771929824561,0.05977065430173495,3.3607996320131512,246.57962797936003,0.04161910489502629,0.3626601162373724
4,10,0.32111111111111107,0.12162011173184357,0.1994909993792675,0.05958151480327233,3.3482028786604645,244.87379950781767,0.04327339534589303,0.36230446170946956
